Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"306731786348","Laptop Dell Latitude 5520 i5 - 1135G7 16GB 256GB SSD  15,6 FHD  Win 11 Pro",,3864_20260126082111,"1","FIXED_PRICE","USD",450.0,,,450.0,"0","","","Jan-26-26 02:13:08 PST","Aug-26-26 02:13:08 PDT","PC Laptops & Netbooks","177","","","Used","","","","","","US","","",""
"307123911846",Lenovo ThinkPad T14 Gen 1 Ryzen 5 PRO 4650U 16 GB 256 GB SSD 14 Zoll Win11 Pro,,3888_20250724125241,"10","FIXED_PRICE","EUR",247.0,,,247.0,"0","1","0","Aug-13-26 00:00:15 PDT","Sep-13-26 00:00:15 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307124457460","Dell Latitude 5540 i5-1345U 16 GB 256 GB SSD 15,6 Zoll Win11 Pro",,4870_20260403112433,"10","FIXED_PRICE","EUR",578.0,,,578.0,"0","","","Aug-13-26 05:36:51 PDT","Sep-13-26 05:36:51 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261903",HP ProBook 640 G2 i5-6200U 8 GB 120 GB SSD 14 Zoll Win11 Pro,,18857183867,"10","FIXED_PRICE","EUR",119.0,,,119.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261906",HP EliteBook 840 G6 i5-8365U 16 GB 500 GB SSD 14 Zoll Win11 Pro,,18589762579,"10","FIXED_PRICE","EUR",311.0,,,311.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261907",HP EliteBook 840 G6 i5-8365U 32 GB 1000 GB SSD 14 Zoll Win11 Pro,,18589765205,"10","FIXED_PRICE","EUR",473.0,,,473.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261909","Fujitsu Lifebook E5510 i7-10510U 16 GB 256 GB SSD 15,6 Zoll Win11 Pro",,5563_20260819142954,"10","FIXED_PRICE","EUR",276.0,,,276.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261910","Fujitsu Lifebook E5510 i7-10510U 8 GB 256 GB SSD 15,6 Zoll Win11 Pro",,5563_20260819094242,"10","FIXED_PRICE","EUR",299.0,,,299.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261915","Panasonic ToughBook CF-31 MK3 i5-3340M 16 GB 120 GB SSD 13,3 Zoll Win10 Pro",,10365,"10","FIXED_PRICE","EUR",234.0,,,234.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
"307145261917",HP EliteBook 840 G6 i5-8365U 16 GB 256 GB SSD 14 Zoll Win11 Pro,,18589771410,"10","FIXED_PRICE","EUR",253.0,,,253.0,"0","","","Aug-25-26 03:26:55 PDT","Sep-25-26 03:26:55 PDT","PC Notebooks & Netbooks","177","","","Gebraucht","","","","","","DE","","",""
